latitude,longitude,altitude,geometry,coordinates,Clearway_Hrs,Hours_of_Operation,Zone,Further_Information,Clr_Way,Comment,Exact_Location,X_Value,Tariff,No,Location,Installed,Y_Value,No_Spaces,Longitude,Latitude,Spaces
53.31296266,-6.27521176,,Point,,Moringin clearway,Mon-Fri 10.00-19.00,Orange,Clearway  until 10.00,Yes,,O/S No. 7,315007,1,1005,Rathgar Avenue,20100528,230548,20 Spaces,-6.27521176,53.31296266,20
53.39484202,-6.263947251,,Point,,Bus lane,Mon-Sat 10.00-16.00,Orange,Bus lane before 10.00 and after 16.00,Yes,,outside DCC  civic centre,315536.05,1,9270,Main Street Ballymum,20110901,239677.92,17 P/D + 1 disabled bay,-6.263947251,53.39484202,17
53.34724704,-6.281462098,,Point,,,Mon-Sat 10.00-16.00,Red,Clearway 7.00-10.00 and 16.00-19.00,Yes,,13mtrs from junct with John St. Nth,314498.6,2.4,5011,Benburb Street,20151112,234353.2,11 spaces,-6.281462098,53.34724704,11
53.33796724,-6.236232408,,Point,,Evening clearway,Mon-Sun 07.00-16.00,Red,Clearway after 16.00,Yes,,Opposite Number 18,317536,2.4,9288,Grand Canal Street Upper,20100305,233394,48 P&D / DP,-6.236232408,53.33796724,48
53.34575044,-6.252311526,,Point,,,Mon-Sat 10.00-16.00,Yellow,,Yes,,,316443.84,2.9,5189,Townsend Street,20150723,234233.79,5 P&D,-6.252311526,53.34575044,5
53.33371264,-6.246006957,,Point,,Clearway before 10.00 and after 1600,Mon-Sat 10.00-16.00,Yellow,,Yes,316896.6,,316896.6,2.9,5138,Mespil Road,20160601,232904.5,10 P&D,-6.246006957,53.33371264,10
,,,LineString,"-6.26187228053247,53.3314730794823,-6.26187228053246,53.3314730794823",before 10.00 + after16.00,Mon-Sat 10-00.16.00,Yellow,Clearway until 10.00 + after16.00,Yes,,At Light-Stand 6,315845.8502,2.9,5241,Charlemont Street,,232629.4288,27 P&D + 3 DP (Total),-6.261872281,53.33147308,27
53.35791674,-6.268754592,,Point,,,Mon-Sat 10.00-19.00,Red,Clearway until 10.00,Yes,,At St. Joseph's Church,315316,2.4,9147,Berkeley Road,,235561,44 P&D / DP (Total),-6.268754592,53.35791674,44
,,,LineString,"-6.25897622314966,53.3517839149071,-6.25897622314966,53.3517839149071",,CLEARWAY FOR LUAS WORKS,Yellow,,Yes,,Opp Car Park- At college,315983.6377,2.9,9097,Marlborough Street,,234894.3615,26 P&D (Total),-6.258976223,53.35178391,26
,,,LineString,"-6.25479341103005,53.3510682840158,-6.25479341103005,53.3510682840158",after 16.00,Mon-Sat 07.00-16.00,Yellow,Clearway after 16.00,Yes,,No 38,316264.0922,2.9,5273,Gardiner Street Lower,,234821.5265,29 P&D (Total),-6.254793411,53.35106828,29
