latitude,longitude,altitude,geometry,Meter_Number,Identifier,Location,Area_Ref,Number_of_Paid_Parking_Spaces_,Hours_of_operation,Days_of_operation,Hourly_Tarrif,Restrictions
53.257303593020445,-6.113304352682142,0,Point,325,M325,Killiney Dart Station Car Park,Killiney,52,0800 - 1900,Monday to Saturday,1,
53.25652466872867,-6.113286687990372,0,Point,326,M326,Killiney Dart Station Car Park,Killiney,36,0800 - 1900,Monday to Saturday,1,
53.25585547666982,-6.113148168249332,0,Point,730,M730,Station Road,Killiney,17,0800 - 1900,Monday to Saturday,1,
53.24732130506838,-6.146266854337264,0,Point,781,M781,Valley Drive,Cherrywood,84,0800 - 1900,Monday to Saturday,1,
53.24585523693611,-6.143430101320742,0,Point,780,M780,Valley Drive,Cherrywood,22,0800 - 1900,Monday to Saturday,1,
53.241227093104925,-6.144335648259644,0,Point,782,M782,Cherrywood Park,Cherrywood,56,0800 - 1900,Monday to Saturday,1,
53.241608612821466,-6.146258761785267,0,Point,783,M783,Cherrywood Park,Cherrywood,48,0800 - 1900,Monday to Saturday,1,
53.266878911046675,-6.184568434377772,0,Point,63,M63,Westminster Court,Foxrock,4,0800 - 1900,Monday to Saturday,1,
53.26664573839531,-6.183832243446708,0,Point,690,M690,Brighton Road,Foxrock,14,0800 - 1900,Monday to Saturday,1.5,
53.28745083936753,-6.247722361000814,0,Point,279,M279,Ailesbury Grove,Ailesbury,8,0800 - 1900,Monday to Saturday,1,
53.28646745799516,-6.249147863004683,0,Point,280,M280,Ailesbury Lawn,Ailesbury,23,0800 - 1900,Monday to Saturday,1,
53.2851932775388,-6.248130264164329,0,Point,281,M281,Ailesbury Lawn,Ailesbury,36,0800 - 1900,Monday to Saturday,1,
53.30194982653389,-6.244985931310543,0,Point,621,M621,Arbourfield,Arbourfield,19,0800 - 1900,Monday to Saturday,1.5,
53.28436726056186,-6.238837990405442,0,Point,287,M287,Ardglas,Ardglas,54,0800 - 1900,Monday to Saturday,1,
53.28830089011637,-6.24678430788113,0,Point,611,M611,Ballinteer Road,Dundrum,6,0800 - 1900,Monday to Saturday,1.5,
53.28863635672583,-6.246411187033368,0,Point,610,M610,Ballinteer Road (Close to Bridge),Dundrum,7,0800 - 1900,Monday to Saturday,1.5,
53.287376541633336,-6.246375974779068,0,Point,609,M609,Ballinteer Road (The Gables),Dundrum,7,0800 - 1900,Monday to Saturday,1.5,
53.29611203530913,-6.260173265692668,0,Point,627,M627,Braemor Road,Dundrum,45,0800 - 1900,Monday to Saturday,1,
53.27901339408427,-6.223189375913347,0,Point,630,M630,Drummartin Link Road,Dundrum,36,0800 - 1900,Monday to Saturday,1,
53.28068008855296,-6.224044883871747,0,Point,631,M631,Drummartin Link Road,Dundrum,35,0800 - 1900,Monday to Saturday,1,
53.284231529069324,-6.225162477169712,0,Point,632,M632,Drummartin Link Road,Dundrum,22,0800 - 1900,Monday to Saturday,1,
53.28242809870974,-6.236732668402429,0,Point,624,M624,Dun Emer,Dundrum,56,0800 - 1900,Monday to Saturday,1,
53.293198119652295,-6.245655094930043,0,Point,603,M603,Dundrum Road (Shops Jct Taney Road),Dundrum,19,0800 - 1900,Monday to Saturday,1.5,
53.29012940732014,-6.245670845863549,0,Point,306,M306,Dundrum Shopping Centre CP,Dundrum,12,0800 - 1900,Monday to Saturday,1.2,
53.2901243362198,-6.245673903719158,0,Point,327,M327,Dundrum Shopping Centre CP,Dundrum,15,0800 - 1900,Monday to Saturday,1.2,
53.29505614335562,-6.251873032938257,0,Point,265,M265,Glenbower Park,Dundrum,8,0800 - 1900,Monday to Saturday,1,
53.28419759893968,-6.242738565140973,0,Point,625,M625,Lynnwood,Dundrum,53,0800 - 1900,Monday to Saturday,1,
53.28494783269194,-6.244062962332426,0,Point,626,M626,Lynnwood,Dundrum,25,0800 - 1900,Monday to Saturday,1,
53.29111286507053,-6.2454401238414325,0,Point,601,M601,Main Street (AIB),Dundrum,11,0800 - 1900,Monday to Saturday,1.5,
53.29003714757709,-6.244309699467243,0,Point,602,M602,Main Street (PTSB),Dundrum,13,0800 - 1900,Monday to Saturday,1.5,
53.29294842073011,-6.243751071154862,0,Point,622,M622,Old Rectory Park,Dundrum,19,0800 - 1900,Monday to Saturday,1.5,
53.28839013769297,-6.2400511913344285,0,Point,302,M302,Sandyford Road Car Park,Dundrum,32,0800 - 1900,Monday to Saturday,1.2,
53.28806455314425,-6.24107935282805,0,Point,303,M303,Sandyford Road Car Park,Dundrum,30,0800 - 1900,Monday to Saturday,1.2,
53.28806153637478,-6.241071897480512,0,Point,304,M304,Sandyford Road Car Park,Dundrum,23,0800 - 1900,Monday to Saturday,1.2,
53.288121539632556,-6.241408364645572,0,Point,305,M305,Sandyford Road Car Park,Dundrum,20,0800 - 1900,Monday to Saturday,1.2,
53.290649468999185,-6.2377018735477066,0,Point,623,M623,Stoney Road,Dundrum,33,0800 - 1900,Monday to Saturday,1.5,
53.29020256813258,-6.250890873903666,0,Point,606,M606,Sweetmount Avenue,Dundrum,16,0800 - 1900,Monday to Saturday,1.5,
53.29194515327574,-6.24718847512529,0,Point,604,M604,Sweetmount Avenue (opp. 10),Dundrum,19,0800 - 1900,Monday to Saturday,1.5,
53.291246663869146,-6.247854308643798,0,Point,605,M605,Sweetmount Avenue (opp. 24),Dundrum,28,0800 - 1900,Monday to Saturday,1.5,
53.289092894814075,-6.251745203506469,0,Point,608,M608,Sweetmount Drive,Dundrum,14,0800 - 1900,Monday to Friday,1,
53.29117768629735,-6.242317375954246,0,Point,620,M620,Taney Manor,Dundrum,12,0800 - 1900,Monday to Saturday,1.5,
53.293225600522376,-6.247971196700009,0,Point,615,M615,Uppr. Churchtown Road (slip to Sweetmount),Dundrum,7,0800 - 1900,Monday to Saturday,1.5,
53.29805470770219,-6.250723448492415,0,Point,618,M618,Woodlawn Park,Dundrum,17,0800 - 1900,Monday to Saturday,1.5,
53.299266570690826,-6.251468156510832,0,Point,619,M619,Woodlawn Park,Dundrum,12,0800 - 1900,Monday to Saturday,1.5,
53.295740446813795,-6.250246322327738,0,Point,617,M617,Woodlawn Park (13A),Dundrum,31,0800 - 1900,Monday to Saturday,1.5,
53.2943237720009,-6.250809031981145,0,Point,616,M616,Woodlawn Terrace/Park,Dundrum,15,0800 - 1900,Monday to Saturday,1.5,
53.303825086352454,-6.245207753165236,0,Point,628,M628,Olivemount,Olivemount,5,0800 - 1900,Monday to Saturday,1,
53.28991787176575,-6.253547533060815,0,Point,607,M607,Sweetmount Avenue,Dundrum,9,0800 - 1900,Monday to Saturday,1.5,
53.30613338751236,-6.1885160143236,0,Point,930,M930,Seafort Parade,Seafort Parade,32,0800 - 1900,Monday to Friday,1,
53.261988300759946,-6.153285643403987,0,Point,761,M761,Bray Road,Cabinteely,16,0800 - 1900,Monday to Friday,1,
53.26160510366992,-6.1523317485259925,0,Point,762,M762,Bray Road,Cabinteely,10,0800 - 1900,Monday to Friday,1,
53.26142196689742,-6.15149604182188,0,Point,763,M763,Bray Road,Cabinteely,7,0800 - 1900,Monday to Friday,1,
