No,Location,No Spaces,Exact Location,Tariff,Hours of Operation,Clr-Way,X_Value,Y_Value,Zone
0,Parnell Street,21 P&D (Total),At Jury's,€3.20,"Mon-Sat 07.00-19.00, Sun 14.00-18.00",FALSE,315763.7318,234926.3662,Yellow
9,Collier's Avenue,21 P&D / DP,At Sandford Road,€1.60,Mon-Sat 07.00-24.00,FALSE,316675.5176,231715.2369,Green
18,Ailesbury Road,169 P&D / DP (Total),At Number 14,€1.60,Mon-Fri 07.00-19.00,FALSE,318900.327,231476.843,Green
19,Nottingham Street,55 P&D / DP,Off North Strand Road,€1.60,Mon-Sat 07.00-19.00,FALSE,317142.3951,235714.1051,Green
20,St. Mary's Terrace (Arbour Hill),4 P&D + 4 DP,At Arbour Place,€1.60,Mon-Sat 07.00-24.00,FALSE,314370.5732,234718.6548,Green
23,North Circular Road,20 P&D / DP,At Summerhill Parade & Russell St,€2.70,Mon-Fri 08.00-18.30,FALSE,316557.7629,235542.0091,Red
24,Charles' Street Great,76 P&D / DP,North Side West of Emmet Street,€2.70,Mon-Sun 07.00-24.00,FALSE,316286.1704,235503.8143,Red
25,Prussia Street,10 P&D / DP,Opposite Joseph's Road,€2.70,Mon-Sat 10.00 - 19.00,FALSE,314100.6669,235193.6974,Red
26,Kenilworth Square West,71 P&D / DP,At Park,€1.60,Mon-Fri 08.00-18.30,FALSE,314859.9383,231165.2101,Green
27,Cadogan Road,78 P&D / DP,Off Annesley Bridge Road,€1.00,Mon-Fri 07.00-19.00,FALSE,317320.69,236006.14,Orange
28,Tyrconnell Street,30 P&D / DP,Junction of Tyrconnel Road,€1.00,Mon-Sat 07.00-24.00,FALSE,311729,233229,Orange
31,Raymond Street,68 P&D / DP,At No 25,€2.70,Mon-Sat 07.00-24.00,FALSE,314848.5177,232888.8826,Red
32,St. Alban's Road,44 P&D / DP,At South Circular Road,€1.60,Mon-Fri 08.00-18.30,FALSE,314773.8794,232648.8603,Green
34,Greenville Terrace,71 P&D / DP,At SPAR,€1.60,Mon-Sat 07.00-24.00,FALSE,314712.9307,232626.494,Green
35,South Dock Street,84 P&D / DP,Opposite Number 64,€2.70,Mon-Sat 07.00-24.00,FALSE,317761.5782,233697.3876,Red
36,Kenilworth Square South,80 P&D / DP,At Park,€1.60,Mon-Fri 08.00-18.30,FALSE,314956.1346,231018.4844,Green
37,Royse Road,28 P&D / DP,Off Phibsborough Road,€1.60,Mon-Fri 07.00-24.00,FALSE,315072.281,236121.9352,Green
38,Washington Street,37 P&D / DP,Opposite No 12,€1.60,Mon-Sat 07.00-24.00,FALSE,314662.3277,232712.839,Green
39,Garville Road,36 P&D / DP,Opposite Number 144,€1.00,Mon-Sat 07.00-19.00,FALSE,315263.5888,230862.3662,Orange
48,The Coombe,16 P&D / DP,Near Reginald Street / At No 62,€2.70,Mon-Sat 07.00-24.00,FALSE,314660.9909,233514.8342,Red
49,St. Philomena's Road,17 P&D / DP,Off Finglas Road,€1.00,Mon-Sat 07.00-24.00,FALSE,314998.3464,236636.6666,Orange
51,Kenilworth Square East,84 P&D / DP,At Park,€1.60,Mon-Sat 07.00-19.00,FALSE,315034.5715,231141.1082,Green
53,Rathmines Road Upper,43 P&D / DP (Total),Near junction York Rd,€1.60,Mon-Sun 07.00-24.00,FALSE,315692.3275,231268.6687,Green
55,St. Brigid's Road (Artane),28 spaces 1 disabled spaced,Outside No. 48 St Brigid's Road,€0.60,Mon-Sat 07.00-19.00,FALSE,319480,238334,Blue
57,Collin's Avenue East,22 P&D,Opposite Number 66,€1.00,Mon-Sat 07.00-19.00,FALSE,319184,237341,Orange
63,Garville Avenue Upper,9 P&D,At Number 88,€1.00,Mon-Sat 07.00-24.00,FALSE,314795.416,230785.6921,Orange
64,Fairview Avenue Upper,27 P&D,At Green,€1.00,Mon-Fri 08.00-18.30,FALSE,317539.1579,236441.6964,Orange
70,Larch Grove,8 P&D / DP,Off Sandford Road,€2.70,Mon-Sat 07.00-24.00,FALSE,316902.9785,231560.5955,Red
71,Dartry Road,28 P&D / DP,At Dodder Walk,€1.00,Mon-Sun 07.00-21.00,FALSE,316056.6107,230069.8862,Orange
73,Ardagh Road,38 P&D / DP,Off Crumlin Road,€1.00,Mon-Sat 07.00-24.00,FALSE,313099.0292,232263.8129,Orange
74,Bow Lane West,26 P&D / DP,Opposite Number 4 & East of Bow Bridge,€1.60,Mon-Sat 07.00-19.00,FALSE,313569,233837,Green
75,Langrishe Place,22 P&D / DP,Off Summerhill,€2.70,Mon-Sun 07.00-24.00,FALSE,316173.479,235223.4558,Red
76,Sandymount Avenue,43 P&D / DP (Total),At Number 53,€1.00,Mon-Fri 08.00-18.30,FALSE,318741.8447,232450.7449,Orange
101,Golden Lane,30 P&D + 8 DP (Total),At flats,€3.20,Mon-Sat 07.00-19.00,FALSE,315411.5321,233641.6812,Yellow
103,Edenvale Road,115 P&D / DP,At Church,€1.60,Mon-Sun 07.00-24.00,FALSE,316505.4511,231237.6599,Green
109,Emmet Road,155 P&D / DP (Total),No 10,€1.00,Mon-Sat 07.00-19.00,FALSE,312720.4027,233564.232,Orange
124,Aughrim Street,70 P&D / DP (Total),Opposite Chiropodist,€2.70,Mon-Fri 08.00-18.30,FALSE,314030.3085,235082.9066,Red
125,Fergus Road,17 P&D / DP,Opposite Number 344,€1.00,Mon-Sat 07.00-24.00,FALSE,314410.6907,229997.0052,Orange
128,Annadale Avenue,27 P&D / DP,Off Phillipsburgh Avenue,€1.00,Mon-Sat 07.00-24.00,FALSE,317196.9691,236586.1038,Orange
130,Merrion View Avenue,25 P&D / DP,Opposite Number 1,€1.00,Mon-Sat 07.00-19.00,FALSE,319023.6016,231404.2329,Orange
142,Albany Road (Rathmines),78 P&D / DP,Opposite Park,€1.60,Mon-Fri 08.00-18.30,FALSE,316527.6066,231189.2378,Green
145,Kilbride Road,45 P&D / DP,"Off Collins Avenue, Killester",€1.00,Mon-Fri 08.00-18.30,FALSE,319339.6562,237354.6132,Orange
146,Brighton Square,178 P&D / DP (Total),At ERCO,€1.00,Mon-Sat 07.00-24.00,FALSE,314661.0331,230953.6708,Orange
153,Viking Place,18 P&D / DP,Opposite Number 11,€1.60,Mon-Sat 07.00-24.00,FALSE,314267,234672,Green
154,Emmet Road,155 P&D / DP (Total),No 13 / West of N'side SCR,€1.00,Mon-Sat 07.00-19.00,FALSE,312620.1222,233577.4687,Orange
155,Middle Third,20 P&D / DP,At Number 44,€1.00,Mon-Fri 08.00-18.30,FALSE,319482.93,237449.03,Orange
158,Iona Road,98 in total length of Iona Road,Junction Of Botanic Road,€1.60,Mon-Sun 07.00-24.00,FALSE,315157.6752,236536.2172,Green
161,Frankfort Avenue,96 P&D / DP,At Number 75,€1.00,Mon-Sat 07.00-24.00,FALSE,315413.44,230965.65,Orange
162,Victoria Road,67 P&D / DP,Junction of Zion Road,€1.00,Mon-Fri 08.00-18.30,FALSE,315088,230116,Orange
164,Ormond Road South,96 P&D / DP,House Number 2,€1.60,Mon-Sat 08.00-18.30,FALSE,316109.9375,231181.238,Green
165,St. Agnes' Road,19 P&D,At Car Park Opposite AIB Crumlin,€1.00,Mon-Sat 07.00-19.00,FALSE,312214,230878,Orange
166,Rathgar Road,6 P&D,At Number 9,€1.00,Mon-Sat 07.00-19.00,FALSE,315478.7897,231441.6677,Orange
167,Terenure Road East,7 P&D,Opposite AIB,€1.00,Mon-Sat 07.00-19.00,FALSE,315013.5174,230428.602,Orange
168,South Circular Road,22 P&D,"Rialto end, outside shops",€1.60,Mon-Sat 07.00-19.00,FALSE,313511.1793,233054.2358,Green
169,Brunswick Place,10 P&D,Off Pearse Street,€2.70,Mon-Sat 07.00-19.00,FALSE,317011.9123,233881.6227,Red
195,Eccles Street,36 P&D + 16 DP (Total),"Number 30, Entrance to public hospital",€2.70,Mon-Sat 07.00-19.00,FALSE,,,Red
228,Charlemont Mall,70 P&D / DP (Total),At Light-Stand 12,€2.70,Mon-Fri  08.00-18.30,FALSE,315751.129,232497.3484,Red
231,Cook Street,12 P&D + 29 DP,At church,€3.20,Mon-Sat 07.00-19.00,FALSE,315084.8567,234034.1518,Yellow
244,Emmet Road,155 P&D / DP (Total),East of S'side St Vincent Street,€1.00,Mon-Sat 07.00-19.00,FALSE,312062.6389,233456.94,Orange
260,Mary's Lane,8 P&D + 12 DP,"At flats, south side, west of Greek Street",€3.20,Mon-Sat 07.00-19.00,FALSE,314996.3002,234447.0512,Yellow
273,St. Mary's Place North,14 P&D (Total),At Flats,€3.20,Mon-Sat 07.00-19.00,FALSE,315414.0202,235161.7756,Yellow
298,Marlborough Road,64 P&D / DP,No 90,€2.70,Mon-Fri 08.00-18.30,FALSE,316957.691,231684.0124,Red
306,Clontarf Road,29 P&D / DP (Total),At Number 10,€1.00,Mon-Fri 07.00-24.00,FALSE,318279,236272,Orange
316,Longwood Avenue,71 P&D / DP,Junction Of South Circular Road,€2.70,Mon-Sat 07.00-24.00,FALSE,315070.8466,232666.7527,Red
318,Kenilworth Square North,76 P&D / DP,Opposite Number 88A,€2.70,Mon-Fri 08.00-18.30,FALSE,315012.303,231298.1657,Red
319,Beechwood Avenue Upper,104 P&D / DP,Junction Of Dunville Avenue,€1.60,Mon-Sun 07.00-24.00,FALSE,316430.8992,231304.9534,Green
324,Richmond Street South,8 P&D + 4 DP,Opposite Number 59 (AIB),€2.70,Mon-Sat 07.00-19.00,FALSE,315657,232710,Red
326,Wesley Road,30 P&D / DP,At Post Office,€1.00,Mon-Sun 07.00-24.00,FALSE,315147.0875,230626.9252,Orange
336,Milltown Road,20 P&D / PP,Opposite No. 38,€1.00,Mon-Sat 07.00-19.00,FALSE,316311.288,230065.5513,Orange
337,Effra Road,84 P&D / DP,Off Grosvenor Place,€2.70,Mon-Fri 07.00-19.00,FALSE,315022.669,231432.3019,Red
338,Castlewood Terrace,15 P&D / DP,At Number 12,€2.70,Mon-Sun 07.00-24.00,FALSE,315791.9088,231732.0622,Red
353,Amiens Street,58 P&D (Total),Local Employment Centre,€2.70,Mon-Sat 07.00-19.00,FALSE,316699.5188,235102.9021,Red
354,Amiens Street,58 P&D (Total),Corner of Preston St,€2.70,Mon-Sat 07.00-19.00,FALSE,316706.9732,235078.4497,Red
356,Amiens Street,58 P&D (Total),No 3,€2.70,Mon-Sat 07.00-19.00,FALSE,316757.1878,235198.0871,Red
357,North Strand Road,32 P&D + 3 DP (Total),Number 76,€1.60,Mon-Sat 07.00-19.00,FALSE,317235.7126,235846.1849,Green
358,North Strand Road,32 P&D + 3 DP (Total),Fire Brigade,€1.60,Mon-Sat 07.00-19.00,FALSE,317283.9387,235861.3572,Green
359,Annesley Bridge Road,16 P&D + 1 DP (Total),Number 25 Laundrette,€1.00,Mon-Sat 07.00-19.00,FALSE,317402.6075,236099.7785,Orange
360,Fairview,22 P&D,Corner of Merville Ave,€1.00,Mon-Sat 07.00-19.00,FALSE,317580.8816,236243.915,Orange
361,Marino Mart,32 P&D / DP (Total),At Blue Leaf Art Gallery / Number 8-9,€1.00,Mon-Sat 07.00-19.00,FALSE,317717,236306,Orange
